Value,Color,Description
0,FFFFFF,NODATA
1,ADFF2D,Albaqualfs
2,ADFF22,Cryaqualfs
4,A5FF2F,Durixeralfs
6,87FF37,Endoaqualfs
7,BAF019,Epiaqualfs
9,87FF19,Fragiaqualfs
10,96F03D,Fragiudalfs
11,A3F52F,Fragixeralfs
12,AFF319,Fraglossudalfs
13,91FF37,Glossaqualfs
14,9CF319,Glossocryalfs
15,9BFF37,Glossudalfs
16,91FF19,Haplocryalfs
17,71FF37,Haploxeralfs
18,86FF19,Hapludalfs
19,A9D42D,Haplustalfs
25,AFF519,Natraqualfs
26,9BFF19,Natrixeralfs
27,9AF024,Natrudalfs
28,A5FD2F,Natrustalfs
29,88FF37,Palecryalfs
30,AFED19,Paleudalfs
31,71FF19,Paleustalfs
32,AFF026,Palexeralfs
38,8CF537,Rhodustalfs
39,B7FF19,Vermaqualfs
41,7177C0,Eutroboralfs
42,9A85EC,Ochraqualfs
43,F5F5E1,Glossoboralfs
44,52CF5A,Cryoboralfs
45,E42777,Natriboralfs
46,4EF76D,Paleboralfs
50,FF00FB,Cryaquands
58,EB05EB,Fulvicryands
59,FA04FA,Fulvudands
61,FC04F5,Haplocryands
63,F50DF0,Haploxerands
64,F118F1,Hapludands
74,FA0CFA,Udivitrands
75,FC05E1,Ustivitrands
76,F100D5,Vitraquands
77,EB09E6,Vitricryands
80,FA22FA,Vitrixerands
82,FFDAB9,Aquicambids
83,F5D2BB,Aquisalids
85,E8C9B8,Argidurids
86,FFDDC4,Argigypsids
87,E7CBC0,Calciargids
89,FFD2C3,Calcigypsids
90,F5D6BB,Gypsiargids
92,D5D3B9,Haplargids
93,E8D4B8,Haplocalcids
94,E7CDC0,Haplocambids
96,F3EAC8,Haplodurids
97,A0C4BA,Haplogypsids
98,FFD2B9,Haplosalids
99,F5DABB,Natrargids
100,F5D5B9,Natridurids
101,E8EBB8,Natrigypsids
102,FFDDC2,Paleargids
103,E7FFC0,Petroargids
104,F3E6C8,Petrocalcids
105,FFDAB9,Petrocambids
107,F5CDB9,Petrogypsids
110,A91D30,Calciorthids
111,796578,Camborthids
112,D8FF6E,Paleorthids
113,177548,Durorthids
114,43EFD6,Durargids
115,8496A9,Gypsiorthids
116,296819,Nadurargids
118,73FFD4,Cryaquents
119,6FFFC8,Cryofluvents
120,75FBC9,Cryopsamments
121,86F5D1,Cryorthents
122,82FFD2,Endoaquents
123,88EEC8,Epiaquents
124,80FFD4,Fluvaquents
126,6BFFC9,Frasiwassents
131,88EEC8,Hydraquents
133,7FFFC8,Psammaquents
134,81FFD2,Psammowassents
135,86F0D4,Quartzipsamments
136,67FFC8,Sulfaquents
137,88EEC8,Sulfiwassents
138,7FFBCB,Torrifluvents
139,87FFD2,Torriorthents
140,8AF5CE,Torripsamments
141,6BFAD2,Udifluvents
142,78F0D4,Udipsamments
143,88EEC8,Udorthents
144,7FFBD4,Ustifluvents
145,73F5CD,Ustipsamments
146,88C8D2,Ustorthents
147,91F0CD,Xerofluvents
148,73CDD2,Xeropsamments
149,88EEC8,Xerorthents
153,FB849B,Udarents
154,DD4479,Torriarents
155,61388B,Xerarents
179,A52A30,Cryofibrists
180,722328,Cryofolists
181,D81419,Cryohemists
182,A42828,Cryosaprists
183,82F5CD,Frasiwassists
184,A54C2E,Haplofibrists
185,C11919,Haplohemists
186,B91419,Haplosaprists
189,21B199,Sphagnofibrists
190,702028,Sulfihemists
191,B41919,Sulfisaprists
196,B22328,Udifolists
201,A2C7EB,Borosaprists
202,36BA79,Medisaprists
203,806797,Borohemists
206,CB5B5F,Calcicryepts
207,CD5C5C,Calciustepts
208,D94335,Calcixerepts
209,D35740,Cryaquepts
210,E05A5D,Durixerepts
212,CF5B5C,Durustepts
213,CA5964,Dystrocryepts
215,CA5D5F,Dystroxerepts
216,CD5E5A,Dystrudepts
217,CA5969,Dystrustepts
218,D95A35,Endoaquepts
219,D36240,Epiaquepts
220,E05C43,Eutrudepts
221,D64755,Fragiaquepts
222,CF595C,Fragiudepts
225,FF5F5F,Halaquepts
226,CD6058,Haplocryepts
228,D95F35,Haploxerepts
229,D35140,Haplustepts
230,D65A55,Humaquepts
231,E05C59,Humicryepts
233,CF525E,Humixerepts
234,C65978,Humudepts
235,F5615F,Humustepts
245,826F9A,Ustochrepts
246,CFF41A,Eutrochrepts
247,4A6F31,Dystrochrepts
248,A96989,Eutrocryepts
249,E16438,Haplaquepts
250,24F640,Xerochrepts
251,88C1F9,Cryochrepts
252,F5D25C,Fragiochrepts
253,D74322,Haplumbrepts
254,7F939E,Cryumbrepts
255,41A545,Dystropepts
256,8F8340,Vitrandepts
268,09FE03,Argialbolls
269,0AFF00,Argiaquolls
270,0FF30F,Argicryolls
271,02F00A,Argiudolls
272,0FC903,Argiustolls
273,17F000,Argixerolls
274,0CFF00,Calciaquolls
275,0AC814,Calcicryolls
276,0CFE00,Calciudolls
277,0AFF0A,Calciustolls
278,03FF05,Calcixerolls
279,1CF31C,Cryaquolls
280,24F000,Cryrendolls
283,00FF0C,Durixerolls
284,14C814,Durustolls
285,00FE4C,Endoaquolls
286,14FF96,Epiaquolls
287,44D205,Haplocryolls
289,05F305,Haploxerolls
290,62F00A,Hapludolls
291,0FCD03,Haplustolls
292,00D20F,Haprendolls
294,1ADD11,Natraquolls
296,09FF0C,Natrixerolls
297,03FF05,Natrudolls
298,05E700,Natrustolls
299,02F00A,Palecryolls
300,0FEA03,Paleudolls
301,00F000,Paleustolls
302,0CCB0C,Palexerolls
303,14DD14,Vermudolls
306,6A685D,Haploborolls
307,FAE6B9,Argiborolls
308,769A34,Haplaquolls
309,6FF2DF,Cryoborolls
310,CA7FC6,Natriborolls
311,D8228F,Calciborolls
312,C01BF0,Paleborolls
342,D2BAD3,Alaquods
343,D8C3CB,Alorthods
345,D4C6D4,Duraquods
348,D5BED5,Durorthods
349,DDB9DD,Endoaquods
350,D8D2D8,Epiaquods
351,D4C9D4,Fragiaquods
353,D2BAD5,Fragiorthods
354,D5BAD5,Haplocryods
356,D5B2D5,Haplohumods
357,D8C8D2,Haplorthods
358,D4CBD4,Humicryods
367,552638,Haplaquods
368,2571EB,Cryorthods
370,FFA514,Albaquults
371,F3A502,Endoaquults
372,FB7B00,Epiaquults
373,F0B405,Fragiaquults
374,F7A80F,Fragiudults
375,FB9113,Haplohumults
376,FFA519,Haploxerults
377,F3A702,Hapludults
378,FBBA07,Haplustults
381,F7970F,Kandiudults
385,F3A702,Kanhapludults
387,FB5A00,Paleaquults
388,F0C005,Palehumults
389,F7810F,Paleudults
390,FF9C00,Paleustults
391,F3B002,Palexerults
396,F0B005,Rhodudults
399,F7980F,Umbraquults
401,4D7CFC,Ochraquults
403,FFFF00,Calciaquerts
405,FAFA05,Calciusterts
406,EBEB22,Calcixererts
409,FFFF14,Dystraquerts
410,F1F10A,Dystruderts
412,FAFA05,Endoaquerts
413,EBEB1E,Epiaquerts
414,F5EB0C,Gypsitorrerts
415,EEF506,Gypsiusterts
417,F1F129,Haplotorrerts
418,FAFA05,Haploxererts
419,EBEB0C,Hapluderts
420,F5D202,Haplusterts
422,FFD700,Natraquerts
424,F1F12B,Salitorrerts
429,A91FAC,Chromusterts
430,2DA468,Pellusterts
431,9A8B71,Chromoxererts
432,76B989,Pelluderts
433,713959,Torrerts